Acronym,Full_Spelling
ASIS,anterior superior iliac spine
Asn,asparagine
ASNR,American Society of Neuroradiology
ASP triad,"anorectal malformation or congenital anorectal stenosis, sacrococcygeal osseous defect, presacral mass"
Asp,aspartic acid
ASPECTS,Alberta stroke program early CT score
ASR,atraumatic splenic rupture
AST,aspartate transaminase
ASUC,acute severeulcerative colitis
ATA,anterior tibial artery
ATECO,auto-triggered elliptic centric-ordered(MRV)
ATG,antithymocyte globulin
ATFL,anterior talofibular ligament
ATI,attenuation imaging
ATL,anterior temporal lobectomy
ATLS,advanced trauma life support
ATOR,at time of review
ATP,adenosine triphosphate
ATRA,all-trans retinoic acid
ATRT,atypical teratoid/rhabdoid tumor
ATTL,anterior tibiotalar ligament
AUB,abnormal uterine bleeding
AUR,acute urinary retention
AV,atrioventricular
AVB,abnormal vaginal bleeding
AVF,arteriovenous fistula
AVM,arteriovenous malformation
AVNRT,AV nodal re-entry tachycardia
AVR,aortic valve replacement
AVSD,atrioventricular septal defect
AWS,alcohol withdrawal scale
AX,assessment
AXR,abdominal X-ray
AZ,apical zone
AZT,azidothymidine (HIV drug)
BAC,bronchioloalveolar carcinoma
BADASS,biochemical abnormality of doubtful actual sense or significance
BAHA,bone-anchored hearing aid
BAL,bronchoalveolar lavage
B-ALL,B-cell acute lymphoblastic leukemia
BARP,British Association for the Advancement of Radiology and Physiotherapy
BAV,bicuspid aortic valve
BBB,blood brain barrier
BBFA,both bone forearm fracture
BBFF,both bone forearm fracture
BBT,basal body temperature
BC,bone conduction
BCC,basal cell carcinoma
BCG,bacillus Calmette-Guérin vaccine
BCT,broad complex tachycardia
BCV,brachiocephalic vein
BCVI,blunt cerebrovascular injury
BD,twice a day
BDFL,benevolent dictator for life
BD-IPMN,branch duct type - intraductal papillary mucinous neoplasm
BDR,background diabetic retinopathy
BE,barium enema
Benzo,benzodiazepine
BERT,background equivalent radiation time
BeS,beryllium sensitization
BG,blood glucose
bHCG,beta human chorionic gonadotropin
BHD,Birt-Hogg-Dubé syndrome
BHR,Birmingham hip resurfacing
BIAD,blind insertion airway device
BIBA,brought in by ambulance
bicarb,sodium bicarbonate
BID,twice a day
BiPAP,bilevel positive airway pressure
BIR,British Institute of Radiology
BI-RADS,breast imaging - reporting and data system
BiVAD,biventricular assist device
BJP,Bence-Jones proteins
BJR,British Journal of Radiology
BKA,below-the-knee amputation
BL,Burkitt lymphoma
B/L,bilateral
Bld,blood
BLS,basic life support
BLUE,bedside lung ultrasound in emergency
BM,blood monitoring
BMD,bone mineral density
BMI,body mass index
B-mode,brightness mode (ultrasound)
BMP,basic metabolic panel
BMR,basic metabolic rate
BMS,bare metal stent
BMT,bone marrow transplant
BNF,British National Formulary
BNO,bowel not opening
BNP,brain natriuretic peptide
BO,bowel opening
B/O,because of
BOFS,branchio-oculo-facial syndrome
BOLD,blood oxygenation level dependantcontrast
BOM,bilateralotitis media
BOO,bladder outlet obstruction
BOOP,bronchiolitis obliterans organizing pneumonia
BOR,branchio-oto-renal syndrome
BOS,bronchiolitis obliterans syndrome
BOS1,branchiootic syndrome 1
BOT,base of tongue
BP,blood pressure
BPA,balloon pulmonary angioplasty
BPAD,bipolar affective disorder
BPD,bronchopulmonary dysplasia
BPDCN,blastic plasmacytoid dendritic cell neoplasm
BPE,benign prostatic enlargement
BPG,bypass graft
BPH,benign prostatic hyperplasia
BPI,best possible image
BPM,beats per minute
BPOP,bizarre parosteal osteochondromatous proliferation
BPPV,benign paroxysmal positional vertigo
BPSD,behavioral and psychological symptoms of dementia
BPV,benign positional vertigo
Bq,becquerel
BRAO,branch retinal artery occlusion
BRBPR,bright red blood per rectum
BRCA,breast cancer
BRCA1,breast cancer 1(gene/protein)
BRCA2,breast cancer 2(gene/protein)
BRET,background radiation equivalent time
BRIC,benign recurrent intrahepatic cholestasis
BRICS,Bronchiectasis Radiologically Indexed CT Score
Bronch,bronchoscopy
BRONJ,bisphosphonate-related osteonecrosis of the jaw
BRVO,branch retinal vein occlusion
BS,breath sounds
BSA,body surface area
BSc,Bachelor of Science
BSF,basal skull fracture
BSI,bloodstream infection
BSL,blood sugar level
BSO,bilateral salpingo-oophorectomy
bSSFP,balancedsteady state free precession
BSSO,bilateral sagittal split osteotomy
BST,basic surgical training (UK)
BT,bleeding time
BTM,Biodegradable Temporising Matrix (full-thickness burns treatment)
BTS,British Thoracic Society
BTV,biological target volume
BUN,blood urea nitrogen
BV,bacterial vaginosis
BVNA,basivertebral nerve ablation
Bx,biopsy
C1-C3,cruciate pulleys
C1-C7,"cervical spinal nerve roots, cervical vertebrae"
C2H5OH,ethanol
C8,eighth cervical nerve root
CA,coronary angiography
CA 15-3,carcinoma antigen 15-3
CA 19-9,cancer antigen 19-9
CA 27-29,cancer antigen 27-29
CA-125,cancer antigen 125
CAA,coronary artery aneurysm
CABG,coronary artery bypass graft
CAC,coronary artery calcification
CACG,chronic angle-closure glaucoma
cACLD,compensated advanced chronic liver disease
CAD,coronary artery disease
CADASIL,cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy
CAE,coronary artery ectasia
CAG,coronary artery graft
CAGS,coronary artery graft surgery
CAH,congenital adrenal hyperplasia
CAI,chronic ankle instability
CAIPIRINHA,controlled aliasing in parallel imaging results in higher acceleration (Siemens)
CAK,cumulative air kerma
CAM,comprehensive arthroscopic management
CANVAS,cerebellar ataxia with neuropathy and vestibular areflexia syndrome
CAP,community-acquired pneumonia
CAPD,continuous ambulatory peritoneal dialysis
CARASAL,cathepsin A-related arteriopathy with strokes and leukoencephalopathy
CARASIL,cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy
CAS,carotid artery stenosis
CASA,computer-assisted semen analysis
CASH,chemotherapy-associated steatohepatitis
CAT,computed axial tomography
c/b,complicated by
CB,ciliary body
CBAVD,congenital bilateral absence of vas deferens
CBC,complete blood count
CBCT,cone beam CT
CBD,common bile duct
CBF,cerebral blood flow
CBH,change in bowel habit
CBI,continuous bladder irrigation
CBS,corticobasal syndrome
CBV,cerebral blood volume
CC,chief complaint
CCA,cholangiocarcinoma
CCAM,congenital cystic adenomatoid malformation
CCC,continuous curvilinear capsulorrhexis
CCCT,clomiphene citrate (Clomid) challenge test
CCD,Cleidocranial dysplasia
CCF,congestive cardiac failure
ccfRNA,circulating cell-free ribonucleic acids
CCL,corpus callosum lipoma
CCO,continuous cardiac output
CCP,central chest pain
CCS,chronic coronary syndrome
CCST,Certificate of Completion of Specialist Training (UK)
CCT,cardiac CT
CCTA,cardiac computed tomography angiography
CCU,critical care unit
CCY,cholecystectomy
CD,craniocaudal
CDC,Centers for Disease Control and Prevention (US federal agency)
CDE,complete dental evaluation
CDH,congenital diaphragmatic hernia
C.diff,Clostridioides difficile
CDI,Color Doppler imaging
CDR,clinical decision rules
CD-ROM,compact disc - read only memory disc
CDS,clinical decision support
CDT,catheter-directed thrombolysis
CE,contrast-enhanced
CEA,carotid endarterectomy
CECT,contrast-enhanced computed tomography
CEMR,contrast-enhanced magnetic resonance
CEMRI,contrast-enhanced magnetic resonance imaging
CERAB,covered endovascular reconstruction of the aortic bifurcation
CES,cauda equina syndrome
CESM,contrast-enhanced spectral mammography
CEUS,contrast-enhanced ultrasound
CF,cystic fibrosis
CFA,common femoral artery
CFC,cardiofaciocutaneous syndrome
CFDM,cystic fibrosis - related diabetes mellitus
CFL,calcaneofibular ligament
CFR,case fatality rate
CFS,chronic fatigue syndrome
CFTS,combined first trimester screening
CFV,common femoral vein(strictly does not exist)
cgs,centimeter-gram-second(superseded system ofunits)
CHALICE,children’s head injury algorithm for prediction of clinically important event
CHANTER,"cerebellar, hippocampal, and basal nuclei transient edema with restricted diffusion syndrome"
CHAOS,congenital high airway obstruction syndrome
CHADS,"Congestive heart failure, Hypertension, Age, Diabetes, prior Stroke"
CHB,complete heart block
CHD,coronary heart disease
chem,chemistry
CHESS,chemical shift selective pulses (all vendors)
CHF,congestive heart failure
CHILD syndrome,congenital hemidysplasia with ichthyosiform erythroderma and limb defects
CHL,conductive hearing loss
CHO,carbohydrate
Chol,cholesterol
CHOP,"cyclophosphamide, doxorubicin (hydroxydaunomycin), Oncovin(vincristine), prednisolone"
CI,cardiac index
CIDP,chronic inflammatory demyelinating polyneuropathy
C/I,contraindication
CIA,common iliac artery
CIC,clean intermittent catheterisation
CICU,cardiac intensive care unit
CID,concealed interstitial delamination
CIED,cardiac implantable electronic device
CIN,cervical intraepithelial neoplasia
CIRS,chronic inflammatory response syndrome
CIRSE,Cardiovascular and Interventional Radiology Society of Europe
CIS,clinically isolated syndrome
CISS,constructive interference in steady state(Siemens)
CIV,common iliac vein
CIVD,Common variable immunodeficiency
CJ,Creutzfeldt-Jakob disease
CJD,Creutzfeldt-Jakob disease
CJF,carotid-jugular fistula
CK,creatine kinase
CKD,chronic kidney disease
CKD-EPI,Chronic Kidney Disease-Epidemiology Collaboration
CL,chlorine
CLL,Chronic lymphocytic leukemia 
CLABSI,central line-associated bloodstream infection
CLD,chronic lung disease
CLEAR,constant level appearance
CLIPPERS,chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids
CMCJ,carpometacarpal joint
CMD,coronary microvascular dysfunction
CME,cystoid macular edema
CMF,chondromyxoid fibroma
CMG,cystometrogram
CML,chronic myelogenous leukemia
CMML,Chronic myelomonocytic leukemia 
CMO,chief medical officer
CMP,cardiomyopathy
CMR,complete metabolic response
CMT,Charcot-Marie-Tooth disease
CMV,cytomegalovirus
CMY,cardiomyopathy
CN,cranial nerve
CNA,chronic necrotizing aspergillosis
CNLD,chronic neonatal lung disease
CNN,convolutional neural network
CNR,contrast-to-noise ratio
CNS,central nervous system
CNV,choroidal neovascularization
CNVM,choroidal neovascular membrane
CO,cardiac output
C/O,complaining of
CoA,coarctation of aorta
COAD,chronic obstructive airways disease
COAG,chronic open-angle glaucoma
COBH,change of bowel habit
COCP,combined oral contraceptive pill
COH,controlled ovarian hyperstimulation
COHb,carboxyhemoglobin
COLD,Cowden-Lhermitte-Duclos syndrome
COM,chronic otomastoiditis
COMARE,Committee on Medical Aspects of Radiation in the Environment (UK)
COP,cryptogenic organizing pneumonia
COPD,chronic obstructive pulmonary disease
Cor,coronal
CoR,College of Radiographers (UK)
COVID-19,CoronaVirus Disease-2019
CoV,coronavirus
COW,circle of Willis
CP,chest pain
CPA,costophrenic angle
CPAM,congenital pulmonary airway malformation
CPAP,continuous positive airway pressure
CPB,cardiopulmonary bypass
CPC,choroid plexus cyst
CPD,continuing professional development
CPE,carbapenem-producing enterobacteriaceae
CPFE,combined pulmonary fibrosis and emphysema
CPFI,chest pain for investigation
CPK,creatine phosphokinase
CPR,cardiopulmonary resuscitation
CPS,complex partial seizure
CQC,Care Quality Commission (UK)
COP,Cryptogenic organising pneumonia
CR,complete response(RECIST)
CRA,coral reef aorta
CRAB,carbapenem-resistant Acinetobacter baumannii
CRAO,central retinal artery occlusion
CRC,colorectal cancerorcolorectal carcinoma
CRE,carbapenem-resistant enterobacteriaceae
Creat,creatinine
CREST,"calcinosis, Raynaud phenomenon, esophageal dysmotility, sclerodactyly, telangiectasia"
CRF,chronic renal failure
CRIF,closed reduction internal fixation
CRION,chronic relapsing inflammatory optic neuropathy
CRISPR,clustered regularly interspaced short palindromic repeats
CRL,crown-rump length
CRM,circumferential resection margin
CRMD,cardiac rhythm management device
CRP,C-reactive protein
CRPC,castrate resistant prostate cancer
CRPP,closed reduction percutaneous pinning
CRPS,complex regional pain syndrome
CRRT,continuous renal replacement therapy
CRS,chronic rhinosinusitis
CRT,cathode ray tube
CRTD,cardiac resynchronisation therapy device
CRTP,cardiac resynchronisation therapy pacemaker
CRTX,chemoradiotherapy
CRUK,Cancer Research UK (charity)
CRVO,central retinal vein occlusion
Cryo,cryotherapy
CS,coronary sinus
C&S,culture and sensitivity
C/S,cesarean section
CSCR,central serous chorioretinopathy
CSD,cortical spreading depression
cSDH,chronic subdural hemorrhage
CSF,cerebrospinal fluid
CS-MRI,chemical shift MRI
CSNT,calves soft and non-tender
CSOM,chronic serous otitis media
CSR,central serous retinopathy
CSS,Churg-Strauss syndrome
CST,cervical screening test
CSU,catheter specimen of urine
CSW,commercial sex worker
CT,computed tomography
CTA,computed tomography angiogram
CTAP,computed tomography of abdomen and pelvis
CTAVN,cystic tumor of the atrioventricular node
CTB,computed tomography of the brain
CTC,computed tomography colonography
CTCA,computed tomography coronary angiogram
CTCAP,"computed tomography of chest, abdomen and pelvis"
CTEV,congenital talipes equinovarus
CTD,connective tissue disease
CTDI,CT dose index
ctDNA,circulating-tumor DNA
CTED,chronic thromboembolic disease
CTEPH,chronic thromboembolic pulmonary hypertension
CTG,"cardiotocography, caudothalamic groove"
CTH,computed tomography head
CTIVC,computed tomography intravenous cholangiogram
CTIVP,computed tomography intravenous pyelogram
CTO,chronic total occlusion
CTP,computed tomography perfusion
CTPA,computed tomography pulmonary angiogram/angiography
CTPE,computed tomography pulmonary embolus study
CTR,cardiothoracic ratio
CTS,carpal tunnel syndrome
CTSI,CT severity index
CTTAP,"computed tomography of the thorax, abdomen and pelvis"
CTU,computed tomography urogram
CTV,computed tomography venogram
CTX,chemotherapy
CTZ,chemosensitive trigger zone
CUP,cancer of unknown primary
CUS,cranial ultrasound
CV,cardiovascular
CVA,cerebrovascular accident (stroke)
CVAD,central venous access device
CVC,central venous catheter
CVE,cerebrovascular event
cVEMP,cervical vestibular-evoked myogenic potentials
CVID,common variable immune deficiency
CVL,central venous line
CVP,central venous pressure
CVS,cardiovascular system
CWD,continuous wave Doppler
CWP,coal workers' pneumoconiosis
CX,circumflex artery
CXR,chest x-ray
Cys,cysteine
CZ,central zone (prostate)
D&C,dilation and curettage
DA,dopamine
DAD,diffuse alveolar damage
DAH,diffuse alveolar hemorrhage
DAI,diffuse axonal injury
DAMA,discharge against medical advice
DAP,dose area product
DAPLD,domestically acquired particulate lung disease
DAPT,dual antiplatelet therapy
DAT,dopamine active transporter(DaTSCAN)
DAVF,dural arteriovenous fistula
DBP,diastolic blood pressure
DBS,deep brain stimulation
DBT,distal biceps tendon
DC,discharge
D/C,discharge
DCC,direct current cardioversion
DCCV,direct current cardioversion
DCD,donation before cardiac death
DCDA,dichorionic diamniotic
DCE,dynamic contrast enhancement
DCG,dacrocystogram
DCI,delayed cerebral ischemia
DCIA,deep circumflex iliac artery
DCIS,ductal carcinoma in situ
DCM,dilated cardiomyopathy
DCR,Direct Current Cardioversion
DD,differential diagnosis
DDD,degenerative disc disease
DDK,dysdiadochokinesia
DDLPS,dedifferentiated liposarcoma
DDMFR,Diploma in Dental and Maxillofacial Radiology (UK)
DDx,differential diagnosis
DEB,drug-eluting balloon
DEB-TACE,drug-eluting bead transcatheter arterial chemoembolisation
DECRA,decompressive craniectomy
DECT,dual-energy CT
defib,defibrillator
DENV,dengue viruses
deoxyHb,deoxygenated hemoglobin
DES,drug-eluting stent
DESS,double echo steady state sequence
DEXA,dual energy x-ray absorptiometry
DF118,dihydrocodeine 
DFI,diabetic foot infection
DFM,decreased foetal movements
DFR,distal femoral replacement
DFU,diabetic foot ulcer
DFV,domestic and family violence
DGA,descending genicular artery
DGCT,dentinogenic ghost cell tumor
dGEMRIC,delayed gadolinium-enhanced MRI of cartilage
DGH,district general hospital (UK)
DHB,Deceased Heart-Beating
DHEAS,dihydroepiandrosterone sulfate
DHS,dual heart sounds
DI,diabetes insipidus
DIC,disseminated intravascular coagulation
DICOM,Digital Imaging and Communications in Medicine
DIEP,deep inferior epigastric perforators
DIH,direct inguinal hernia
DIL,drug-induced lupus erythematosus
DILI,drug-induced liver injury
DIOS,distal intestinal obstruction syndrome
DIP,desquamative interstitial pneumonia
DIPI,direct intraperitoneal insemination
DIPJ,distal interphalangeal joint
DIPNECH,diffuse idiopathic neuroendocrine cell hyperplasia
DIR,double inversion recovery
DISH,diffuse idiopathic skeletal hyperostosis
DISI,dorsal intercalated segment instability
DJBL,duodenal–jejunal bypass liner
DJD,degenerative joint disease
DJF,duodenojejunal flexure
DKA,diabetic ketoacidosis
DLBCL,diffuse large B cell lymphoma
DLB,dementia with Lewy bodies
DLC,discoligamentous complex
DLCO,diffusing capacity of the lungs for carbon monoxide
DLP,dyslipidemia
DM,diabetes mellitus
DMAA,distal metatarsal articular angle
DMBSG,diffuse midline brainstem glioma
DMD,Duchenne muscular dystrophy
DMRD,Diploma in Medical Radiodiagnosis
DMRE,Diploma in Medical Radiology and Electrology
DMS,diagnostic medical sonography
DMSA,dimercaptosuccinic acid
DNA,deoxyribonucleic acid
DNAR,do not attempt resuscitation
DNB,Diplomate of National Board
DNC,dilation and curettage
DNET,dysembryoplastic neuroepithelial tumor
DNR,do not resuscitate
DNS,deviated nasal septum
DOA,dead on arrival
DOAC,direct oral anticoagulant
DOB,date of birth
DOE,dyspnea on exertion
DOI,date of injury
DOOR,"DOOR syndrome(deafness, onychodystrophy, osteodystrophy, and mental retardation)"
DORV,double outlet right ventricle
DOT,directly observed therapy
DOTA,"1,4,7,10-tetraazacyclododecane-1,4,7,10-tetraacetic acid"
DP,distal phalanx
DPA,dorsalis pedis artery
DPH,diffuse pulmonary hemorrhage
DPS,double pigtail stent
DPT,"diphtheria, pertussis, tetanus (vaccine)"
DPPTL,deep posterior tibiotalar ligament
DRESS,drug reaction with eosinophilia and systemic symptoms
DRG,diagnosis-related group
DRL,diagnostic reference level
DRR,digitally reconstructed radiographs
DRUJ,distal radioulnar joint
DS,Dressler syndrome
DSA,digital subtraction angiography
DSM,Diagnostic and Statistical Manual of Mental Disorders
DSM-V,Diagnostic and Statistical Manual of Mental Disorders
DSPA,digital subtraction pulmonary angiography
DT,delirium tremens
DTaP,"diphtheria, tetanus, and pertussis (vaccine)"
DTI,diffusion tensor imaging
DTP,"diphtheria, tetanus, pertussis (vaccine)"
DTPA,diethylenetriaminepentaacetic acid
DTR,deep tendon reflexes
DTS,double tissue sampling
DTT,diffusion tensor tractography
DU,duodenal ulcer
DV,ductus venosus
DVP,deepest vertical pocket
DVST,dural venous sinus thrombosis
DVT,deep vein thrombosis
D/W,discussion with
DWI,diffusion weighted imaging
DWM,Dandy-Walker malformation
DX,diagnosis
DXA,dual energy x-ray absorptiometry
DXT,deep x-ray therapy
Dy,dysprosium
DZ,dizygote
E1,estrone
E2,estradiol
E3,estriol
EAC,external auditory canal
EAM,external auditory meatus
EARPV,echogenic anterior wall of the right portal vein
EBIR,European Board of Interventional Radiology
EBL,estimated blood loss
EBLVRS,endobronchial lung volume reduction surgery
EBM,endobronchial metastasis
EBRT,external beam radiotherapy
EBUS,endobronchial ultrasound
EBV,endobronchial valve
ECA,external carotid artery
ECD,Erdheim-Chester disease
ECF,enterocutaneous fistula
ECG,electrocardiogram
Echo,echocardiography
ECMO,extracorporeal membrane oxygenation
ECR,endovascular clot retrieval
ECRA,extensor carpi radialis accessorius
ECRB,extensor carpi radialis brevis
ECRI,extensor carpi radialis intermedius
ECRT,extensor carpi radialis tertius
ECS,emergency cesarean section
ECST,European Carotid Surgery Trial
ECT,electroconvulsive therapy
ED,erectile dysfunction
EDAMS,encephaloduroarteriomyosynangiosis
EDAS,encephaloduroarteriosynangiosis
EDC,expected date of confinement
EDD,expected date of delivery
EDH,extradural hemorrhage
EDMS,electronic document management system
EDV,end-diastolic volume
EEE,Eastern equine encephalitis
EEG,electroencephalography
EET,endoscopic eradication therapy
EF,ejection fraction
EFM,estimated foetal weight
EG,eosinophilic gastroenteritis
EGD,esophagogastroduodenoscopy
EGFR,epidermal growth factor receptor
eGFR,estimated glomerular filtration rate
EGPA,eosinophilic granulomatosis with polyangiitis (Churg-Strauss syndrome)
EIA,external iliac artery
EIF,echogenic intracardiac focus
EIV,external iliac vein
EJV,external jugular vein
EKG,electrokardiogram
ELST,endolymphatic sac tumor
ELVO,emergent large vessel occlusion
EM,electromagnetic
EMD,electromechanical dissociation
EMF,endomyocardial fibrosis
EMG,electromyography
EMP,extramedullary plasmacytoma
EMR,electronic medical record
EMS,encephalomyosynangiosis
EMVI,extramural vascular invasion
ENB,electromagnetic navigation bronchoscopy
ENT,"ear, nose and throat"
EOA,esophageal obturator airway
EOM,extraocular muscles
EOS,early-onset (neonatal) sepsis
E/O,evidence of
EP,electrophysiology
EPI,echo-planar imaging
EPIA,epiandrosterone
EPID,electronic portal imaging device
EPISTAR,echo planar imaging and signal targeting with alternating radiofrequency
EPL,extensor pollicis longus
ER,early ratio
ERCP,endoscopic retrograde cholangiopancreatography
ERT,enzyme replacement therapy
ERV,expiratory reserve volume
Es,einsteinium
ESAK,entrance surface air kerma
ESBL,extended-spectrum beta-lactamase
ESGAR,European Society of Gastrointestinal and Abdominal Radiology
ESOI,European Society of Oncological Imaging
ESOS,extraskeletal osteosarcoma
ESP,exophytic sinonasal papilloma
ESR,erythrocyte sedimentation rate
ESRD,end-stage renal disease
ESRF,end stage renal failure
ESS,endoscopic sinus surgery
ESUR,European Society of Urogenital Radiology
ESV,end-systolic volume
ESWL,extracorporeal shock wave lithotripsy
ET,endotracheal
ETA,estimated time of arrival
et al.,and others
ETC,esophagotracheal combitube
ETD,estimated time of delivery
ETEC,enterotoxigenicEscherichia coli
ETI,endotracheal intubation
e-THRIVE,enhanced T1W high resolution isotropic volume examination (Philips)
ETL,echo train length
ETOH,ethanol
ETT,endotracheal tube
EUA,examination under anesthesia
EUPD,emotionally unstable personality disorder
EUS,endoscopic ultrasound
EUSB,endoscopic ultrasound biopsy
EVAL,evaluate
EVAR,endovascular aneurysm repair
EVD,extraventricular drain
EVLP,ex-vivo lung perfusion
Ex,exitus
Exp,expiratory
FA,fibroadenoma
FABER,"flexion, abduction, and external rotation maneuver"
FACR,Fellow of the American College of Radiology
FAF,fissula ante fenestram
FAI,femoroacetabular impingement
FAIR,flow sensitive alternating inversion recovery
FAMMM,familial atypical multiple mole melanoma syndrome
FAS,fetal alcohol syndrome
FASD,fetal alcohol spectrum disorders
FASI,focal areas of signal intensity
FAST,"face (drooping), arms (weakness), speech (slurred), and time (to call emergency services)"
Fat sat,fat saturation
Fax,facsimile
FB,foreign body
FBC,full blood count
FBG,fasting blood glucose
FBOA,foreign body obstructed airway
FBMS,fasting metabolic bone studies
FCC,fibrocystic change
FCD,fibrocystic disease(of the breast)
FCL,fibular collateral ligament
FCMD,Fukuyama congenital muscular dystrophy
FC Rad Diag(SA),Fellowship of the College of Radiologists of South Africa
FCRB,flexor carpi radialis brevis vel profundus
FCSEMS,fully covered self-expanding metal stent
FD,fibrous dysplasia
FDA,Food and Drug Administration
FDG,fluorodeoxyglucose
FDL,flexor digitorum longus
FDP,fibrin degradation product
FDS,flexor digitorum superficialis
FE,flexion-extension
